utt_num,num,text,pronounce,monophone
BASIC5000_0014,0014,残酷ということは、彼の性質にはないことだ。,ざんこくとゆーことわ、かれのせーしつにわないことだ,z a N k o k u t o y u: k o t o w a sp k a r e n o s e: sh i ts u n i w a n a i k o t o d a
BASIC5000_0015,0015,庭園の周りに、ぐるりと高いへいが立っている。,てーえんのまわりに、ぐるりとたかいへーがたっている,t e: e N n o m a w a r i n i sp g u r u r i t o t a k a i h e: g a t a q t e i r u
BASIC5000_0016,0016,出生率と死亡率は、ほぼ等しかった。,しゅっせーりつとしぼーりつわ、ほぼひとしかった,sh u q s e: r i ts u t o sh i b o: r i ts u w a sp h o b o h i t o sh i k a q t a
BASIC5000_0017,0017,絶対にそのスイッチに触ってはいけない。,ぜったいにそのすいっちにさわってわいけない,z e q t a i n i s o n o s u i q ch i n i s a w a q t e w a i k e n a i
BASIC5000_0018,0018,部屋を出るときには、明かりを消しなさい。,へやをでるときにわ、あかりをけしなさい,h e y a o d e r u t o k i n i w a sp a k a r i o k e sh i n a s a i
BASIC5000_0019,0019,シェークスピアの作品は、とてもむずかしくて読めない。,しぇーくすぴあのさくひんわ、とてもむずかしくてよめない,sh e: k u s u p i a n o s a k u h i N w a sp t o t e m o m u z u k a sh i k u t e y o m e n a i
BASIC5000_0020,0020,むかし、むかし、１人の老人が住んでいた。,むかし、むかし、ひとりのろーじんがすんでいた,m u k a sh i sp m u k a sh i sp h i t o r i n o r o: j i N g a s u N d e i t a
BASIC5000_0021,0021,疲労やら、飢えやらで、彼は目眩を感じた。,ひろーやら、うえやらで、かれわめまいをかんじた,h i r o: y a r a sp u e y a r a d e sp k a r e w a m e m a i o k a N j i t a
BASIC5000_0022,0022,むしろロン毛のほうが禿げやすいって聞いたぞ。,むしろろんげのほーがはげやすいってきーたぞ,m u sh i r o r o N g e n o h o: g a h a g e y a s u i q t e k i: t a z o
BASIC5000_0023,0023,むこうに立っている女の子は、メアリーです。,むこうにたっているおんなのこわ、めありーです,m u k o u n i t a q t e i r u o N n a n o k o w a sp m e a r i: d e s u
BASIC5000_0024,0024,システィナ礼拝堂は、１４７３年に、バティカン宮殿内に建立された、壮大な礼拝堂です。,しすてぃなれーはいどーわ、せんよんひゃくななじゅーさんねんに、ばちかんきゅーでんないにこんりゅーされた、そーだいなれーはいどーです,sh i s u t i n a r e: h a i d o: w a sp s e N y o N hy a k u n a n a j u: s a N n e N n i sp b a ch i k a N ky u: d e N n a i n i k o N ry u: s a r e t a sp s o: d a i n a r e: h a i d o: d e s u
BASIC5000_0025,0025,テニスにもあるけど、４大大会って何。,てにすにもあるけど、よんだいたいかいってなに,t e n i s u n i m o a r u k e d o sp y o N d a i t a i k a i q t e n a n i
BASIC5000_0026,0026,策略は衣服を必要とするが、真実は裸であることを好む。,さくりゃくわいふくをひつよーとするが、しんじつわはだかであることをこのむ,s a k u ry a k u w a i f u k u o h i ts u y o: t o s u r u g a sp sh i N j i ts u w a h a d a k a d e a r u k o t o o k o n o m u
BASIC5000_0027,0027,濃いコーヒーより、うすいコーヒーの方が好きです。,こいこーひーより、うすいこーひーのほーがすきです,k o i k o: h i: y o r i sp u s u i k o: h i: n o h o: g a s u k i d e s u
BASIC5000_0028,0028,外交官には、様々な特権が与えられている。,がいこーかんにわ、さまざまなとっけんがあたえられている,g a i k o: k a N n i w a sp s a m a z a m a n a t o q k e N g a a t a e r a r e t e i r u
BASIC5000_0029,0029,刺し傷はとても深く、感染の恐れがないか検査する必要がある。,さしきずわとてもふかく、かんせんのおそれがないかけんさするひつよーがある,s a sh i k i z u w a t o t e m o f u k a k u sp k a N s e N n o o s o r e g a n a i k a k e N s a s u r u h i ts u y o: g a a r u
BASIC5000_0030,0030,外人が日本食に慣れることはむずかしい。,がいじんがにほんしょくになれることわむずかしい,g a i j i N g a n i h o N sh o k u n i n a r e r u k o t o w a m u z u k a sh i i
BASIC5000_0031,0031,語の古い意味が、現在の基本的な意味であるとは限らない。,ごのふるいいみが、げんざいのきほんてきないみであるとわかぎらない,g o n o f u r u i i m i g a sp g e N z a i n o k i h o N t e k i n a i m i d e a r u t o w a k a g i r a n a i
BASIC5000_0032,0032,針金は、電気を伝えるのにもちいられる。,はりがねわ、でんきをつたえるのにもちいられる,h a r i g a n e w a sp d e N k i o ts u t a e r u n o n i m o ch i i r a r e r u
BASIC5000_0033,0033,来月の歌舞伎座の出し物はなんですか。,らいげつのかぶきざのだしものわなんですか,r a i g e ts u n o k a b u k i z a n o d a sh i m o n o w a n a N d e s u k a
BASIC5000_0034,0034,圧縮したファイルを添付で送ってください。,あっしゅくしたふぁいるをてんぷでおくってください,a q sh u k u sh i t a f a i r u o t e N p u d e o k u q t e k u d a s a i
BASIC5000_0035,0035,容姿端麗、頭脳明晰、運動神経抜群、家は金持ちで、ついでに学生会の副会長をしてたりもする、いわゆる、パーフェクトな奴だ。,よーしたんれい、ずのーめいせき、うんどーしんけーばつぐん、いえわかねもちで、ついでにがくせーかいのふくかいちょーをしてたりもする、いわゆる、ぱーふぇくとなやつだ,y o: sh i t a N r e i sp z u n o: m e i s e k i sp u N d o: sh i N k e: b a ts u g u N sp i e w a k a n e m o ch i d e sp ts u i d e n i g a k u s e: k a i n o f u k u k a i ch o: o sh i t e t a r i m o s u r u sp i w a y u r u sp p a: f e k u t o n a y a ts u d a
BASIC5000_0036,0036,入院患者は、医者に麻酔を注射されて、すぐに眠りに落ちた。,にゅーいんかんじゃわ、いしゃにますいをちゅーしゃされて、すぐにねむりにおちた,ny u: i N k a N j a w a sp i sh a n i m a s u i o ch u: sh a s a r e t e sp s u g u n i n e m u r i n i o ch i t a
BASIC5000_0037,0037,傍目八目という言葉があるように一度協会から離れて、日本サッカーをみて頂きたい。,はためはちもくとゆーことばがあるよーに、いちどきょーかいからはなれて、にほんさっかーをみていただきたい,h a t a m e h a ch i m o k u t o y u: k o t o b a g a a r u y o: n i sp i ch i d o ky o: k a i k a r a h a n a r e t e sp n i h o N s a q k a: o m i t e i t a d a k i t a i
BASIC5000_0038,0038,行儀の悪さは、彼の良識を疑わせるものだ。,ぎょーぎのわるさわ、かれのりょーしきをうたがわせるものだ,gy o: g i n o w a r u s a w a sp k a r e n o ry o: sh i k i o u t a g a w a s e r u m o n o d a
BASIC5000_0039,0039,部長の都合が悪くなってしまったので、飲み会の日程は仕切り直しだね。,ぶちょーのつごーがわるくなってしまったので、のみかいのにってーわ、しきりなおしだね,b u ch o: n o ts u g o: g a w a r u k u n a q t e sh i m a q t a n o d e sp n o m i k a i n o n i q t e: w a sp sh i k i r i n a o sh i d a n e
BASIC5000_0040,0040,蛇をみたとき、彼は悲鳴をあげた。,へびをみたとき、かれわひめいをあげた,h e b i o m i t a t o k i sp k a r e w a h i m e i o a g e t a
BASIC5000_0041,0041,紫外線は、皮膚癌を引き起こすことがある。,しがいせんわ、ひふがんをひきおこすことがある,sh i g a i s e N w a sp h i f u g a N o h i k i o k o s u k o t o g a a r u
BASIC5000_0042,0042,気がつくと、逃げ場はどこにもなかった。,きがつくと、にげばわどこにもなかった,k i g a ts u k u t o sp n i g e b a w a d o k o n i m o n a k a q t a
BASIC5000_0043,0043,三番目の、そしてもっとも重要な考えは、再入ということである。,さんばんめの、そしてもっともじゅーよーなかんがえわ、さいにゅーとゆーことである,s a N b a N m e n o sp s o sh i t e m o q t o m o j u: y o: n a k a N g a e w a sp s a i ny u: t o y u: k o t o d e a r u
BASIC5000_0044,0044,希望や夢の思いは、絶対に見つからない。,きぼーやゆめのおもいわ、ぜったいにみつからない,k i b o: y a y u m e n o o m o i w a sp z e q t a i n i m i ts u k a r a n a i
BASIC5000_0045,0045,前方にある、あのサインが読めますか。,ぜんぽーにある、あのさいんがよめますか,z e N p o: n i a r u sp a n o s a i N g a y o m e m a s u k a
BASIC5000_0046,0046,気まずい沈黙の後、ビルは彼女の手を取って、上の階へ引っ張って行った。,きまずいちんもくのあと、びるわかのじょのてをとって、うえのかいえひっぱっていった,k i m a z u i ch i N m o k u n o a t o sp b i r u w a k a n o j o n o t e o t o q t e sp u e n o k a i e h i q p a q t e i q t a
BASIC5000_0047,0047,鉱山労働者が、賃上げを要求してストに突入した。,こーざんろーどーしゃが、ちんあげをよーきゅーして、すとにとつにゅーした,k o: z a N r o: d o: sh a g a sp ch i N a g e o y o: ky u: sh i t e sp s u t o n i t o ts u ny u: sh i t a
BASIC5000_0048,0048,気の弱い男が、美女を得たためしがない。,きのよわいおとこが、びじょをえたためしがない,k i n o y o w a i o t o k o g a sp b i j o o e t a t a m e sh i g a n a i
BASIC5000_0049,0049,気前の良いその歯科医は、およそ２０億円を、慈善事業に寄付した。,きまえのよいそのしかいわ、およそにじゅーおくえんを、じぜんじぎょーにきふした,k i m a e n o y o i s o n o sh i k a i w a sp o y o s o n i j u: o k u e N o sp j i z e N j i gy o: n i k i f u sh i t a
BASIC5000_0050,0050,気に入ろうが入るまいが、君は行かねばならない。,きにいろーがいるまいが、きみわいかねばならない,k i n i i r o: g a i r u m a i g a sp k i m i w a i k a n e b a n a r a n a i
BASIC5000_0051,0051,ミニスカートがもう一度、復活すると思いますか。,みにすかーとがもーいちど、ふっかつするとおもいますか,m i n i s u k a: t o g a m o: i ch i d o sp f u q k a ts u s u r u t o o m o i m a s u k a
BASIC5000_0052,0052,計画をたてることと、それを実行する事は、別問題です。,けーかくをたてることと、それをじっこーすることわ、べつもんだいです,k e: k a k u o t a t e r u k o t o t o sp s o r e o j i q k o: s u r u k o t o w a sp b e ts u m o N d a i d e s u
BASIC5000_0053,0053,ミデアムレアにして、ポテトをひとつ、つけてください。,みでぃあむれあにして、ぽてとをひとつ、つけてください,m i d i a m u r e a n i sh i t e sp p o t e t o o h i t o ts u sp ts u k e t e k u d a s a i
BASIC5000_0054,0054,原稿とコピーは、容易に見分けが付く。,げんこーとこぴーわ、よーいにみわけがつく,g e N k o: t o k o p i: w a sp y o: i n i m i w a k e g a ts u k u
BASIC5000_0055,0055,ミツバチは、においのサンプルを巣に持ち帰ることによって、食糧のありかを伝える。,みつばちわ、においのさんぷるをすにもちかえることによって、しょくりょーのありかをつたえる,m i ts u b a ch i w a sp n i o i n o s a N p u r u o s u n i m o ch i k a e r u k o t o n i y o q t e sp sh o k u ry o: n o a r i k a o ts u t a e r u
BASIC5000_0056,0056,ミックは、その子供をリチャードと名付けた。,みっくわ、そのこどもをりちゃーどとなずけた,m i q k u w a sp s o n o k o d o m o o r i ch a: d o t o n a z u k e t a
BASIC5000_0057,0057,ミミズを踏むと、雨が降るという人がいる。,みみずをふむと、あめがふるとゆーひとがいる,m i m i z u o f u m u t o sp a m e g a f u r u t o y u: h i t o g a i r u
BASIC5000_0058,0058,ヨシオは、性格は母親に、容貌は、父親に似ている。,よしおわ、せーかくわははおやに、よーぼーわ、ちちおやににている,y o sh i o w a sp s e: k a k u w a h a h a o y a n i sp y o: b o: w a sp ch i ch i o y a n i n i t e i r u
BASIC5000_0059,0059,迷惑をおかけして申し訳ありません。,めーわくをおかけしてもーしわけありません,m e: w a k u o o k a k e sh i t e m o: sh i w a k e a r i m a s e N
BASIC5000_0060,0060,ミロのビーナスが完全であったときには、像には腕もついていた。,みろのびーなすがかんぜんであったときにわ、ぞーにわうでもついていた,m i r o n o b i: n a s u g a k a N z e N d e a q t a t o k i n i w a sp z o: n i w a u d e m o ts u i t e i t a
BASIC5000_0061,0061,ミルトンの作品を読んだことがありますか。,みるとんのさくひんをよんだことがありますか,m i r u t o N n o s a k u h i N o y o N d a k o t o g a a r i m a s u k a
BASIC5000_0062,0062,ミラー先生は、あなたにしばらく待ってもらいたいと思っています。,みらーせんせーわ、あなたにしばらくまってもらいたいとおもっています,m i r a: s e N s e: w a sp a n a t a n i sh i b a r a k u m a q t e m o r a i t a i t o o m o q t e i m a s u
BASIC5000_0063,0063,ミュージカルは、見なかったのですか。,みゅーじかるわ、みなかったのですか,my u: j i k a r u w a sp m i n a k a q t a n o d e s u k a
BASIC5000_0064,0064,草花について、もっと知りたいと思いました。,くさばなについて、もっとしりたいとおもいました,k u s a b a n a n i ts u i t e sp m o q t o sh i r i t a i t o o m o i m a sh i t a
BASIC5000_0065,0065,瓢箪から駒って言うのかな、知人の紹介で、就職決まっちゃったんだよ。,ひょーたんからこまってゆーのかな、ちじんのしょーかいで、しゅーしょくきまっちゃったんだよ,hy o: t a N k a r a k o m a q t e y u: n o k a n a sp ch i j i N n o sh o: k a i d e sp sh u: sh o k u k i m a q ch a q t a N d a y o
BASIC5000_0066,0066,泥だらけの足で、居間をどたどたあるいてはいけない。,どろだらけのあしで、いまをどたどたあるいてわいけない,d o r o d a r a k e n o a sh i d e sp i m a o d o t a d o t a a r u i t e w a i k e n a i
BASIC5000_0067,0067,ミーティングに穴をあけてしまったことに対し、再度、お詫びします。,みーてぃんぐにあなをあけてしまったことにたいし、さいど、おわびします,m i: t i N g u n i a n a o a k e t e sh i m a q t a k o t o n i t a i sh i sp s a i d o sp o w a b i sh i m a s u
BASIC5000_0068,0068,日向にすわっているのに、私はまだ寒気がした。,ひなたにすわっているのに、わたしわまださむけがした,h i n a t a n i s u w a q t e i r u n o n i sp w a t a sh i w a m a d a s a m u k e g a sh i t a
BASIC5000_0069,0069,ミンは、昨夜、友達に電話をかけました。,みんわ、さくや、ともだちにでんわをかけました,m i N w a sp s a k u y a sp t o m o d a ch i n i d e N w a o k a k e m a sh i t a
BASIC5000_0070,0070,分析においては、クルツによって最初に分析された、権威的行動の類型に負っている部分が大きい。,ぶんせきにおいてわ、くるつによってさいしょにぶんせきされた、けんいてきこーどーのるいけーにおっているぶぶんがおーきい,b u N s e k i n i o i t e w a sp k u r u ts u n i y o q t e s a i sh o n i b u N s e k i s a r e t a sp k e N i t e k i k o: d o: n o r u i k e: n i o q t e i r u b u b u N g a o: k i i
BASIC5000_0071,0071,さよならを言わなければなりません。,さよならをいわなければなりません,s a y o n a r a o i w a n a k e r e b a n a r i m a s e N
BASIC5000_0072,0072,さらに、横から見ると、前歯は出っ歯の状態にあります。,さらに、よこからみると、まえばわでっぱのじょーたいにあります,s a r a n i sp y o k o k a r a m i r u t o sp m a e b a w a d e q p a n o j o: t a i n i a r i m a s u
BASIC5000_0073,0073,さりげなく聡いこの子には、うかつな事はとても言えない。,さりげなくさといこのこにわ、うかつなことわとてもいえない,s a r i g e n a k u s a t o i k o n o k o n i w a sp u k a ts u n a k o t o w a t o t e m o i e n a i
BASIC5000_0074,0074,冗談にしろ、恐怖からにしろ、決してうそを言うな。,じょーだんにしろ、きょーふからにしろ、けっしてうそをゆーな,j o: d a N n i sh i r o sp ky o: f u k a r a n i sh i r o sp k e q sh i t e u s o o y u: n a
BASIC5000_0075,0075,さもないと、日暮れの前にそこにつけないでしょう。,さもないと、ひぐれのまえにそこにつけないでしょー,s a m o n a i t o sp h i g u r e n o m a e n i s o k o n i ts u k e n a i d e sh o:
BASIC5000_0076,0076,被写体に気づかれないようにそぉっとカメラを取り出し、ファインダーを覗く。,ひしゃたいにきずかれないよーにそーっとかめらをとりだし、ふぁいんだーをのぞく,h i sh a t a i n i k i z u k a r e n a i y o: n i s o: q t o k a m e r a o t o r i d a sh i sp f a i N d a: o n o z o k u
BASIC5000_0077,0077,闇夜に鉄砲じゃあるまいし、そんな場当たり的なやり方で、うまくいくとは思えないよ。,やみよにてっぽーじゃあるまいし、そんなばあたりてきなやりかたで、うまくいくとわおもえないよ,y a m i y o n i t e q p o: j a a r u m a i sh i sp s o N n a b a a t a r i t e k i n a y a r i k a t a d e sp u m a k u i k u t o w a o m o e n a i y o
BASIC5000_0078,0078,さんざん世話をしたのに、何のあいさつもない。,さんざんせわをしたのに、なんのあいさつもない,s a N z a N s e w a o sh i t a n o n i sp n a N n o a i s a ts u m o n a i
BASIC5000_0079,0079,太平洋は、世界でいちばん大きな大洋です。,たいへーよーわ、せかいでいちばんおーきなたいよーです,t a i h e: y o: w a sp s e k a i d e i ch i b a N o: k i n a t a i y o: d e s u
BASIC5000_0080,0080,上級管理職は、部下の教育に多くの時間を費やす。,じょーきゅーかんりしょくわ、ぶかのきょーいくにおーくのじかんをついやす,j o: ky u: k a N r i sh o k u w a sp b u k a n o ky o: i k u n i o: k u n o j i k a N o ts u i y a s u
BASIC5000_0081,0081,全部の学生が、そこへ行ったわけではない。,ぜんぶのがくせーが、そこえいったわけでわない,z e N b u n o g a k u s e: g a sp s o k o e i q t a w a k e d e w a n a i
BASIC5000_0082,0082,温かい飲み物をご用意しましょうか。,あたたかいのみものをごよーいしましょーか,a t a t a k a i n o m i m o n o o g o y o: i sh i m a sh o: k a
BASIC5000_0083,0083,ガットの新決議案は、かなりの衝撃を与える可能性があります。,がっとのしんけつぎあんわ、かなりのしょーげきを、あたえるかのーせーがあります,g a q t o n o sh i N k e ts u g i a N w a sp k a n a r i n o sh o: g e k i o sp a t a e r u k a n o: s e: g a a r i m a s u
BASIC5000_0084,0084,自国の言葉について、いくらか知っても知りすぎることはない。,じこくのことばについて、いくらかしってもしりすぎることわない,j i k o k u n o k o t o b a n i ts u i t e sp i k u r a k a sh i q t e m o sh i r i s u g i r u k o t o w a n a i
BASIC5000_0085,0085,文明は、今や核戦争に脅かされている。,ぶんめーわ、いまやかくせんそーにおびやかされている,b u N m e: w a sp i m a y a k a k u s e N s o: n i o b i y a k a s a r e t e i r u
BASIC5000_0086,0086,占星学は科学的な根拠もないのに、とても人気があって、占星学は信じている人が多いようです。,せんせーがくわ、かがくてきなこんきょもないのに、とてもにんきがあって、せんせーがくわしんじているひとがおーいよーです,s e N s e: g a k u w a sp k a g a k u t e k i n a k o N ky o m o n a i n o n i sp t o t e m o n i N k i g a a q t e sp s e N s e: g a k u w a sh i N j i t e i r u h i t o g a o: i y o: d e s u
BASIC5000_0087,0087,案の定、あの業者、今日になって泣きついてきたよ。,あんのじょー、あのぎょーしゃ、きょーになってなきついてきたよ,a N n o j o: sp a n o gy o: sh a sp ky o: n i n a q t e n a k i ts u i t e k i t a y o
BASIC5000_0088,0088,生命の尊さを考えた事のない人は、医学を志すべきではない。,せーめーのとーとさをかんがえたことのないひとわ、いがくをこころざすべきでわない,s e: m e: n o t o: t o s a o k a N g a e t a k o t o n o n a i h i t o w a sp i g a k u o k o k o r o z a s u b e k i d e w a n a i
BASIC5000_0089,0089,ガルフポートで一番のフライドチキンと言ったら、それはもう、おばあちゃんの台所ですよ。,がるふぽーとでいちばんのふらいどちきんといったら、それわもー、おばーちゃんのだいどころですよ,g a r u f u p o: t o d e i ch i b a N n o f u r a i d o ch i k i N t o i q t a r a sp s o r e w a m o: sp o b a: ch a N n o d a i d o k o r o d e s u y o
BASIC5000_0090,0090,ガリレオは、二つの鉄の玉を、塔のてっぺんから落とした。,がりれおわ、ふたつのてつのたまを、とーのてっぺんからおとした,g a r i r e o w a sp f u t a ts u n o t e ts u n o t a m a o sp t o: n o t e q p e N k a r a o t o sh i t a
BASIC5000_0091,0091,ガラスの鉢は、粉々になってしまった。,がらすのはちわ、こなごなになってしまった,g a r a s u n o h a ch i w a sp k o n a g o n a n i n a q t e sh i m a q t a
BASIC5000_0092,0092,暴徒は、広場から強制的に排除された。,ぼーとわ、ひろばからきょーせーてきにはいじょされた,b o: t o w a sp h i r o b a k a r a ky o: s e: t e k i n i h a i j o s a r e t a
BASIC5000_0093,0093,初体験の相手は、年上の女性だった。,はつたいけんのあいてわ、としうえのじょせーだった,h a ts u t a i k e N n o a i t e w a sp t o sh i u e n o j o s e: d a q t a
BASIC5000_0094,0094,妥協するのは、私の主義に反している。,だきょーするのわ、わたしのしゅぎにはんしている,d a ky o: s u r u n o w a sp w a t a sh i n o sh u g i n i h a N sh i t e i r u
BASIC5000_0095,0095,経済学の本を、５冊ロンドンに注文した。,けーざいがくのほんを、ごさつろんどんにちゅーもんした,k e: z a i g a k u n o h o N o sp g o s a ts u r o N d o N n i ch u: m o N sh i t a
BASIC5000_0096,0096,ガーデンフェンスを、至急、配達して下さい。,がーでんふぇんすを、しきゅー、はいたつしてください,g a: d e N f e N s u o sp sh i ky u: sp h a i t a ts u sh i t e k u d a s a i
BASIC5000_0097,0097,ガンは、ある種のウイルスと関係があるかもしれない。,がんわ、あるしゅのういるすとかんけーがあるかもしれない,g a N w a sp a r u sh u n o u i r u s u t o k a N k e: g a a r u k a m o sh i r e n a i
BASIC5000_0098,0098,全てを捨てて、このレストランをやる目的は、ひとつだけでした。,すべてをすてて、このれすとらんをやるもくてきわ、ひとつだけでした,s u b e t e o s u t e t e sp k o n o r e s u t o r a N o y a r u m o k u t e k i w a sp h i t o ts u d a k e d e sh i t a
BASIC5000_0099,0099,上役に反対することは、彼も勇気のある男だ。,うわやくにはんたいすることわ、かれもゆーきのあるおとこだ,u w a y a k u n i h a N t a i s u r u k o t o w a sp k a r e m o y u: k i n o a r u o t o k o d a
BASIC5000_0100,0100,棚を片付けなさい、そうすれば、本をそこへ置けます。,たなをかたずけなさい、そーすれば、ほんをそこえおけます,t a n a o k a t a z u k e n a s a i sp s o: s u r e b a sp h o N o s o k o e o k e m a s u
BASIC5000_0101,0101,ざっと見積もって、その仕事は、二週間かかるだろう。,ざっとみつもって、そのしごとわ、にしゅーかんかかるだろー,z a q t o m i ts u m o q t e sp s o n o sh i g o t o w a sp n i sh u: k a N k a k a r u d a r o:
BASIC5000_0102,0102,昼食のため、１２時から１時まで、１時間の休みがある。,ちゅーしょくのため、じゅーにじからいちじまで、いちじかんのやすみがある,ch u: sh o k u n o t a m e sp j u: n i j i k a r a i ch i j i m a d e sp i ch i j i k a N n o y a s u m i g a a r u
BASIC5000_0103,0103,車中には、少なくとも５人の乗客がいました。,しゃちゅーにわ、すくなくともごにんのじょーきゃくがいました,sh a ch u: n i w a sp s u k u n a k u t o m o g o n i N n o j o: ky a k u g a i m a sh i t a
BASIC5000_0104,0104,増加する需要に応じるため、アメリカから、牛肉を追加する計画だ。,ぞーかするじゅよーにおーじるため、あめりかから、ぎゅーにくをついかするけーかくだ,z o: k a s u r u j u y o: n i o: j i r u t a m e sp a m e r i k a k a r a sp gy u: n i k u o ts u i k a s u r u k e: k a k u d a
BASIC5000_0105,0105,車両は欠陥が無いか、最低３ヶ月に１回、検査される。,しゃりょーわけっかんがないか、さいてーさんかげつにいっかい、けんさされる,sh a ry o: w a k e q k a N g a n a i k a sp s a i t e: s a N k a g e ts u n i i q k a i sp k e N s a s a r e r u
BASIC5000_0106,0106,汝自身に真実であれ、汝自ら他人に偽りなきごとく。,なんじじしんにしんじつであれ、なんじみずからたにんにいつわりなきごとく,n a N j i j i sh i N n i sh i N j i ts u d e a r e sp n a N j i m i z u k a r a t a n i N n i i ts u w a r i n a k i g o t o k u
BASIC5000_0107,0107,興ざめの人も、よく知るようになると、かならずしも、不快ではない。,きょーざめのひとも、よくしるよーになると、かならずしも、ふかいでわない,ky o: z a m e n o h i t o m o sp y o k u sh i r u y o: n i n a r u t o sp k a n a r a z u sh i m o sp f u k a i d e w a n a i
BASIC5000_0108,0108,間断ない物価上昇の結果、社会不安が起こるかもしれない。,かんだんないぶっかじょーしょーのけっか、しゃかいふあんがおこるかもしれない,k a N d a N n a i b u q k a j o: sh o: n o k e q k a sp sh a k a i f u a N g a o k o r u k a m o sh i r e n a i
BASIC5000_0109,0109,袋は、とうもろこしではちきれそうだった。,ふくろわ、とーもろこしではちきれそーだった,f u k u r o w a sp t o: m o r o k o sh i d e h a ch i k i r e s o: d a q t a
BASIC5000_0110,0110,にやりと笑って、賛成の意思を示した。,にやりとわらって、さんせーのいしをしめした,n i y a r i t o w a r a q t e sp s a N s e: n o i sh i o sh i m e sh i t a
BASIC5000_0111,0111,最後の手段としては、いつでも職を辞められると、彼は考えた。,さいごのしゅだんとしてわ、いつでもしょくをやめられると、かれわかんがえた,s a i g o n o sh u d a N t o sh i t e w a sp i ts u d e m o sh o k u o y a m e r a r e r u t o sp k a r e w a k a N g a e t a
BASIC5000_0112,0112,にわとりが、食べ物をさがしていました。,にわとりが、たべものをさがしていました,n i w a t o r i g a sp t a b e m o n o o s a g a sh i t e i m a sh i t a
BASIC5000_0113,0113,全く偶然に、私は、昔の友人と、空港で出会った。,まったくぐーぜんに、わたしわ、むかしのゆーじんと、くーこーでであった,m a q t a k u g u: z e N n i sp w a t a sh i w a sp m u k a sh i n o y u: j i N t o sp k u: k o: d e d e a q t a
BASIC5000_0114,0114,３年というは、長い時間だと私は思う。,さんねんとゆーわ、ながいじかんだとわたしわおもう,s a N n e N t o y u: w a sp n a g a i j i k a N d a t o w a t a sh i w a o m o u
BASIC5000_0115,0115,にんにくを、用心して食べればためになる。,にんにくを、よーじんしてたべればためになる,n i N n i k u o sp y o: j i N sh i t e t a b e r e b a t a m e n i n a r u
